T,6,7,8,9,10,11 ,12,13,14,15,16,17/18
90,22,24,26.0,25.0,25.0,21.0 ,25,22,24,24,28,28
89,,23,25.0,,, ,24,21,,,,27
88,21,,,24.0,24.0,20.0 ,,,23,23,27,
87,,22,24.0,,, ,23,,,,26,26
86,20,,,23.0,23.0, ,20,22,22,,,
85,,21,23.0,,,19.0 22,,,,,25,25
84,19,,,22.0,22.0, ,19,,21,,,
83,,20,22.0,,,18.0 ,21,,21,,24,24
82,18,,,21.0,21.0, ,18,,20,,,
81,,19,21.0,,, ,,,20,,23,23
80,17,,,,20.0,17.0 ,20,,,19,22,22
79,,18,20.0,20.0,, ,17,19,,,,
78,16,,,,19.0,16.0 ,19,,,18,21,21
77,,17,19.0,19.0,, ,,16,18,,,
76,15,,,,18.0, 18,,,17,20,20,
75,,16,18.0,18.0,,15.0 ,15,17,,,,
74,14,,,,17.0, ,17,,,,19,19
73,,15,17.0,17.0,,14.0 ,,,16,16,18,
72,13,,,,16.0, ,16,14,,,,18
71,,14,16.0,16.0,, ,,,15,16,17,17
70,12,,,,15.0,13.0 ,15,13,,,,
69,,13,15.0,15.0,, ,,,14,14,16,16
68,11,,,,14.0,12.0 ,14,12,,,,
67,,12,14.0,14.0,, ,,,,13,15,15
66,10,,,,13.0, ,13,,13,,14,
65,,11,13.0,13.0,,11.0 ,,11,,12,,14
64,9,,,,, ,12,,12,,13,
63,,10,12.0,12.0,12.0,10.0 ,,10,,11,,13
62,8,,,,, ,11,,11,,12,12
61,,9,11.0,11.0,11.0, ,,9,,10,11,
60,7,,,,,9.0 ,10,,10,,,11
59,,8,10.0,10.0,10.0, ,,,,9,10,
58,6,,,,,8.0 ,9,8,9,,,10
57,,7,9.0,9.0,9.0, ,,,,,9,
56,5,,,,, ,,7,8,8,,9
55,,6,8.0,8.0,8.0,7.0 ,8,,,,8,
54,4,,,,, ,,6,7,7,7,8
53,,5,7.0,7.0,7.0,6.0 ,7,,,,,7
52,3,,,,, ,,,6,6,6,
51,,4,6.0,6.0,6.0, ,6,5,,,,6
50,2,,,,,5.0 ,,,,5,5,
49,,3,5.0,5.0,5.0, 5,4,5,,,,5
48,1,,,,,4.0 ,,,,4,4,
47,,2,4.0,4.0,4.0, ,4,3,4,,3,4
46,0,,,,, ,,,,3,,
45,,1,3.0,3.0,3.0,3.0 ,3,,3,,2,3
44,,,,,, ,,2,,2,,2
43,,0,2.0,2.0,2.0,2.0 ,2,,2,,1,
42,,,,,, ,,1,,1,,1
41,,,1.0,,1.0, ,1,,1,,0,
40,,,0.0,1.0,0.0,1.0 ,0,0,0,0,,0
